"XT","pX"
0.875,5.04435072709255
0.8571,5.2104263381279
0.8333,5.38151259860365
0.8,5.56019378860667
0.75,5.75708605318107
0.6666,5.99658255479781
0.5,6.35398859040876
0.3333,6.68089394069022
0.2,6.99439055463972
0.1,7.35359627377693
