Xtot,RelTime,Potential
3.6,19,1.1
3.555556,22,-2.7
3.5,25,-4.2
3.428571,27,-6.6
3.333333,30,-8.9
3.2,33,-10.9
3,36,-13.5
2.666667,39,-15.6
2,42,-18
1.333333,45,-19.1
