Xtot,RelTime,Potential
3.6,19,-93.12115
3.555556,22,-95.59682
3.5,25,-98.18326
3.428571,27,-100.93975
3.333333,30,-103.95289
3.2,33,-107.35963
3,36,-111.40151
2.666667,39,-116.57889
2,42,-124.26428
1.333333,45,-130.50006
